feature,importance
f15,0.252128240144471
f11,0.2507277497732498
f16,0.24941299363237893
f19,0.2491812647773223
f17,0.24843625445669154
f7,0.24767124157366452
f10,0.24701057179285313
f9,0.24685104506979091
f12,0.24663983067651074
f20,0.24653398866256943
f8,0.24643711881607547
f18,0.2463011992498662
f13,0.24524937763040758
f23,0.24490016432784562
f25,0.24476866362009597
f24,0.24375605765928998
f22,0.24177517113463964
f4,0.24155859344396655
f14,0.24110306964282716
f26,0.2408837991855515
f6,0.24083922194205454
f21,0.24029494384744207
f34,0.24009182352031705
f29,0.23892343169230892
f35,0.23816078563754556
f27,0.23774377809856984
f33,0.23735180728848637
f5,0.23680228306346984
f31,0.23617326292502772
f47,0.2358775157665537
f32,0.23558203268656733
f43,0.23447428931061157
f28,0.2341820910906408
f30,0.23400451588979007
f41,0.2335304929108011
f40,0.2329631011918972
f37,0.2327641145247124
f42,0.23271383907958018
f36,0.23212446605972542
f38,0.2304686310948878
f45,0.230292923430226
f48,0.23019846307678465
f44,0.22944605867266746
f55,0.22933414155257179
f49,0.22877809814693037
f52,0.22844172565345305
f59,0.227859245755502
f50,0.22682952084885383
f53,0.2266684030801859
f60,0.2263753423342176
f51,0.22548828397734472
f56,0.22529861998349093
f63,0.22494917035387207
f54,0.22476204265117677
f57,0.22370601088882192
f67,0.22305750304356597
f39,0.22302982036857202
f46,0.22289568366053497
f69,0.2227831376268212
f62,0.2225138539743377
f61,0.22192475796335423
f73,0.22167909716232245
f58,0.22167344560656924
f68,0.22137121336791885
f70,0.21917717515404225
f3,0.2185381626681453
f72,0.21849293207447384
f74,0.2182987859804469
f66,0.21825958337596985
f71,0.21763197622453767
f77,0.21755418639406962
f64,0.21750296115934367
f81,0.21701525862015233
f87,0.21695827802204362
f65,0.21661258146496945
f85,0.2162211520631899
f75,0.2159842816988628
f79,0.2157526380790382
f82,0.2149048182565269
f76,0.21426371436047245
f90,0.2135621535680241
f95,0.21264850262352805
f84,0.2126346728631438
f93,0.21245031769007053
f105,0.2122436483800158
f104,0.2121911991747906
f91,0.21214781366738897
f88,0.21203605680503992
f107,0.21190118175251188
f98,0.211767470300033
f83,0.21174601799862908
f86,0.21148491809061937
f78,0.21132410941004245
f89,0.21097407855713388
f103,0.21054312769425385
f80,0.21037878534140764
f97,0.20970957382691038
f108,0.20923217077598744
f153,0.20917286398114687
f197,0.209009264340325
f106,0.20896564150366984
f110,0.20868169091271457
f109,0.20841808427329273
f100,0.2082389173165982
f94,0.2081063298670114
f92,0.20753725179292568
f112,0.20748648648396262
f117,0.207448422791076
f111,0.20736992255988507
f124,0.20732919608038916
f101,0.20677829379595292
f131,0.20673132051908064
f122,0.20670543079279555
f187,0.2064928138103002
f188,0.2064120288903332
f96,0.20637313899379042
f134,0.20618378886279157
f143,0.20614907995357015
f130,0.2061302835414651
f99,0.20602418155566693
f177,0.20585292087699172
f121,0.20562468512415277
f213,0.20561439062190207
f120,0.20560266133709937
f195,0.2055596046117023
f168,0.2055557521392988
f123,0.2055227965928043
f166,0.20542165620160124
f147,0.2054111991265467
f163,0.20536046341038747
f139,0.20518931875632163
f203,0.20511915736288883
f141,0.20503803606895932
f113,0.2050343354732819
f155,0.20498941400404075
f136,0.2049825917377746
f151,0.2049437321802634
f196,0.2049420935935933
f226,0.20490898531764917
f115,0.20488412750353935
f132,0.2047611501906781
f145,0.20474534043491852
f135,0.2047214255059883
f170,0.2045196857162482
f125,0.20449714417377698
f325,0.2044722113078054
f133,0.2044435980527425
f174,0.2043060771356732
f116,0.20424111887381105
f176,0.2042402927279782
f201,0.2041602128901231
f438,0.20406907851517905
f182,0.20403225074702322
f191,0.20396989366577423
f408,0.20386528330307105
f175,0.20385010700135614
f144,0.20379218509141359
f231,0.20370284538782443
f241,0.2036120163169601
f178,0.20360183209137167
f294,0.20327771928252408
f190,0.20326280461212695
f222,0.20324466906410038
f154,0.20320100881814035
f293,0.20306467204950285
f114,0.20298496061762722
f267,0.20295974976143327
f279,0.20288781222555227
f102,0.20287637686442977
f236,0.20285707617477253
f198,0.20277891675983628
f118,0.20276228981694114
f268,0.20268753038478993
f146,0.20266122409059106
f157,0.20264750692439817
f269,0.20258491729693026
f127,0.20254636314800356
f219,0.20251930623103354
f207,0.2024987567734641
f194,0.2024883726071037
f215,0.2024437364636784
f171,0.2024397126671553
f193,0.20240895591826985
f192,0.20240002115209016
f277,0.20237638457929272
f307,0.20237068320819043
f443,0.20234486555126102
f335,0.20232035610250795
f211,0.20231103645893417
f433,0.20226146079785398
f224,0.20222579790788572
f275,0.20217229412710697
f216,0.20216782560165614
f297,0.20216401985570195
f223,0.20216344393894561
f184,0.20208476038341808
f205,0.20205895252358078
f358,0.20201266526399025
f173,0.20199999508455263
f129,0.20197653539750302
f255,0.20197037266177587
f550,0.20195159718842376
f179,0.20190702682082337
f245,0.20189000888618097
f186,0.20185053183141782
f281,0.20179685087234292
f230,0.20175705113865866
f140,0.2017515351074287
f246,0.20172177638399327
f228,0.20171982979948708
f284,0.2017090487232093
f341,0.20170650409764965
f272,0.20169289101753837
f142,0.20168770402981862
f273,0.20165775310379164
f251,0.20155301998262018
f239,0.20151213218411948
f242,0.20149314559392756
f189,0.20148263299218924
f461,0.20144965162670891
f360,0.2014275481555837
f149,0.20139579656331025
f214,0.20139521600744797
f305,0.20136566561729052
f126,0.20135467647966568
f229,0.20132632361642272
f452,0.2013221836049948
f298,0.20123860161168852
f276,0.2012267324735462
f391,0.20119535682309483
f181,0.2011467550488248
f389,0.20110176123319976
f375,0.20109729063775356
f233,0.20109616971732597
f457,0.20102283711818184
f165,0.20101196558967174
f161,0.20099869998225045
f347,0.20098573051738028
f240,0.20098093130278938
f235,0.20096397440493763
f128,0.200953339199499
f209,0.20095078718089687
f451,0.200925615532703
f158,0.2009172115290694
f199,0.20090790081173965
f119,0.20089466936123773
f323,0.20089397152096916
f572,0.20086811557218714
f180,0.20085819301932745
f570,0.20084063701288996
f156,0.20083700789530468
f319,0.2007627105028407
f243,0.20074789196411671
f259,0.20073617248502787
f152,0.20070436431118469
f185,0.2006645417375836
f232,0.20061930103397513
f316,0.2006152273679504
f172,0.200588288402232
f434,0.20054961920110037
f150,0.20054377387597738
f482,0.20053160443556106
f454,0.20048159708247906
f475,0.20041558607488466
f453,0.20039258303497196
f295,0.20038459569285885
f581,0.20038109854836295
f160,0.20037764147944448
f444,0.20032938164586375
f225,0.20027720586413772
f551,0.20026857913509433
f414,0.2002464798928837
f258,0.20022977409080409
f327,0.20021173926414396
f329,0.20016653705679993
f538,0.20015432918492224
f439,0.20011962642578
f148,0.20010603409086863
f575,0.20008154692714156
f651,0.2000338018205536
f169,0.2000307874181581
f310,0.20002341614734767
f210,0.20002096874186592
f264,0.199988939441661
f164,0.19998311325524534
f597,0.1999732236310984
f299,0.19986479227251927
f333,0.19978661339363446
f469,0.1997226955720799
f710,0.19972266306853162
f248,0.19970567156160715
f607,0.19969773903581944
f301,0.19969047528092718
f304,0.19967709330767516
f138,0.19963457784985203
f247,0.19959604815297205
f432,0.19957352886963012
f262,0.19956065569255832
f596,0.19952474277530236
f162,0.19952163185443178
f554,0.19950562422919674
f379,0.1994906987434977
f483,0.1994811893556604
f349,0.19947503080257278
f410,0.19947025930320278
f377,0.19945301764515244
f202,0.19943313813149333
f465,0.1994264901213768
f282,0.19938540861106796
f407,0.19937269627290866
f328,0.19936456530597366
f595,0.1993437084400483
f206,0.19934370793422226
f395,0.1993406232635944
f204,0.19931996435578828
f227,0.19931730852528348
f212,0.19930650102978634
f320,0.1993056311673096
f271,0.19930192614804396
f425,0.19928645406992126
f286,0.1992671401589566
f337,0.19924425157449221
f256,0.19924028048094922
f388,0.19923592987258423
f561,0.1992226669702395
f430,0.19922253949524524
f266,0.19921733552377985
f450,0.1992104526564067
f569,0.19919375180240337
f590,0.1991818170056293
f315,0.1991569973282176
f263,0.19910877275876418
f296,0.19909726768940028
f423,0.1990892189769855
f303,0.19908630979166556
f373,0.1990800555005264
f427,0.1990486305614744
f285,0.1990380786198602
f167,0.19897888971406552
f249,0.1989578701952861
f445,0.19895037379958272
f547,0.19894732203483773
f429,0.1989241360000001
f237,0.19891707950439108
f355,0.19889366502430175
f221,0.19886606496640577
f582,0.19886476602900016
f359,0.19885723033950378
f324,0.19885678124571812
f437,0.19881342943177407
f218,0.19880242525966302
f340,0.19879861974930738
f447,0.19877596819745338
f260,0.1987425899132024
f283,0.1987418277701857
f705,0.19872420249945685
f345,0.19867504207637715
f583,0.1986472575410353
f353,0.1986464295034347
f330,0.19862232998296386
f393,0.1986127374514327
f346,0.19858604627229098
f348,0.19857916501524472
